date, integer, float, bool, char, word, yn
12/25/2060,-958838,590131109036.032,true,u,zosu,Y
02/18/2023,-165090,528052918838.8864,true,1,em,Y
11/27/2064,-207296,99397538938.88,false,w,doptah,Y
06/28/2044,316236,590216172037.7344,false,x,gutijenel,N
08/12/2045,722897,-309360363516.7232,true,7,hueh,N
07/23/1904,-903116,-509332808531.968,true,0,fufcora,Y
11/16/2021,-350444,-660010367870.5664,false,Y,we,N
08/30/1906,-498413,464406135282.0736,false,E,gilveodo,N
12/28/2059,63304,-89202181223.2192,false,$,teocon,Y
01/30/2023,-644668,777959066776.3712,false,J,vettocfa,Y
11/15/1952,-157838,-367124812713.1648,false,9,ponposa,N
07/14/1943,526756,-838433449495.7568,true,p,ni,Y
09/21/2032,-397651,492526730687.2832,false,9,fa,N
10/31/1997,127459,586856424642.9696,true,N,rifot,N
03/30/1971,-430726,816426901097.6768,false,C,wihpubun,N
12/10/2002,986178,390724723094.3232,false,0,ca,N
01/23/2054,-761264,167446627483.648,false,B,ku,Y
07/16/1999,373063,-487648905710.7968,false,),da,Y
08/25/2041,326420,382617699273.9328,false,L,kegtizub,Y
07/29/1984,335329,-511355736870.0928,false,M,kiili,N
10/24/2027,-149539,244888640893.7472,true,g,ufhuk,N
12/30/2009,258694,-261971544060.7232,false,g,zemegrif,N
11/22/1920,-553309,-687846506836.7872,false,m,hetige,Y
09/04/2007,-686574,779963704593.6128,false,L,zule,N
03/07/2060,372912,605244557046.5792,true,N,sez,Y
